invoice_id,subscription_id,invoice_date,due_date,invoice_amount,tax_amount,payment_status,payment_date,payment_method,record_status,status_reason,payment_status_norm
I0000001,S001741,2025-08-13,2025-09-20,63705.13,12558.27,Failed,,Wallet,VALID,No issues detected,Failed
I0000002,S001829,2025-04-15,2025-05-06,46883.31,24072.0,Failed,,Wallet,VALID,No issues detected,Failed
I0000003,S001448,2025-10-14,2025-11-14,57159.86,20904.92,Refunded,,Bank Transfer,VALID,No issues detected,Refunded
I0000004,S000905,2025-12-15,2025-12-24,92131.99,23832.44,,,Bank Transfer,SUSPICIOUS,Missing payment_status,Nan
,S000942,2025-04-19,2025-05-31,98065.49,14169.16,,,Wallet,INVALID,Missing invoice_id; Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000006,S002010,2025-02-20,2025-04-03,96747.39,7291.95,,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000007,S001349,2025-10-19,2025-11-15,71159.02,11636.1,Refunded,,,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000008,S001724,2024-08-16,2024-09-06,66741.55,10711.31,Refunded,,,VALID,No issues detected,Refunded
I0000009,S000730,2024-08-20,2024-09-30,57471.82,2692.04,Failed,,,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000010,S002134,2025-07-23,2025-08-12,78210.82,,Refunded,,Card,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000011,S001828,2024-03-02,2024-03-15,58090.79,4678.22,Paid,2024-03-16,,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000012,S001865,2024-12-14,2025-01-25,113481.44,17627.7,Refunded,2024-12-10,Card,INVALID,Invoice references non-existent/invalid subscription; Payment date earlier than invoice date,Refunded
,S000708,2025-07-02,2025-08-10,4964.09,6712.41,Refunded,2025-06-29,Wallet,INVALID,Missing invoice_id; Invoice references non-existent/invalid subscription; Payment date earlier than invoice date,Refunded
I0000014,S000693,2025-04-04,2025-04-26,5453.33,21200.05,,,Wallet,SUSPICIOUS,Missing payment_status,Nan
I0000015,S002169,2024-05-01,2024-05-23,90703.58,2482.61,Failed,,Wallet,VALID,No issues detected,Failed
I0000016,S001002,2024-02-09,2024-02-20,46721.37,15939.46,,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000017,S002079,2025-09-11,2025-10-04,82060.59,17650.62,,,,SUSPICIOUS,Missing payment_status,Nan
I0000018,S000640,2024-06-02,2024-06-27,,,Refunded,2024-07-21,UPI,INVALID,Invoice references non-existent/invalid subscription; Missing invoice_amount,Refunded
I0000019,S002233,2025-06-18,2025-06-04,104672.3,8610.25,Paid,2025-07-13,,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000020,S001950,2025-09-21,2025-09-12,58958.51,21584.04,Failed,2025-10-06,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Failed
