customer_id,MRR,effective_monthly_revenue,payment_failure_rate,usage_intensity_score,support_escalation_rate,average_csat,renewal_risk_score,region,plan_name,sales_channel,subscription_status_norm,customer_health_score,risk_category
C00001,0.0,0.0,0.25,47.94,0.0,2.9705882352941178,71.67,West,,Partner,Expired,56.21,Watchlist
C00004,23794.45,77444.11,0.25,0.0,0.0,3.0,40.0,North,,Marketplace,Active,57.07,Watchlist
C00006,0.0,0.0,0.0,44.08,0.0,2.9705882352941178,15.0,North,Enterprise,,Nan,75.67,Healthy
C00010,0.0,0.0,0.0,57.61,0.0,2.9705882352941178,15.0,,Pro,Inside Sales,Trial,79.05,Healthy
C00011,0.0,92992.91,0.0,61.46,1.0,3.0,40.0,East,Basic,Website,Trial,66.19,Watchlist
C00013,0.0,0.0,0.0,29.34,0.0,2.0,75.0,North,Basic,Inside Sales,Cancelled,52.01,Watchlist
C00017,0.0,104843.35,0.0,38.82,0.0,2.9705882352941178,100.0,Central,Pro,,Expired,53.1,Watchlist
C00019,0.0,0.0,0.0,40.35,0.0,3.0,70.0,,,Inside Sales,Nan,65.91,Watchlist
C00026,14872.6659,0.0,0.0,0.0,0.0,2.9705882352941178,70.0,East,Enterprise,Partner,Active,50.9,Watchlist
C00028,0.0,12975.19,0.0,47.71,0.0,2.9705882352941178,100.0,North,Enterprise,Partner,Cancelled,55.32,Watchlist
C00031,18912.681500000002,0.0,0.0,54.47,0.0,2.9705882352941178,27.5,West,Enterprise,Inside Sales,Active,75.14,Healthy
C00032,0.0,0.0,0.0,0.0,0.0,2.0,25.0,East,Enterprise,Website,Trial,57.18,Watchlist
C00035,18311.98,0.0,1.0,43.18,0.0,3.0,40.0,Central,Enterprise,Website,Active,49.12,Watchlist
C00036,0.0,0.0,0.0,0.0,0.0,2.9705882352941178,25.0,West,,,Trial,62.15,Watchlist
C00037,0.0,0.0,0.0,0.0,0.0,2.9705882352941178,15.0,North,,Website,Active,64.65,Watchlist
C00038,0.0,0.0,0.0,0.0,0.0,2.9705882352941178,85.0,East,Basic,Inside Sales,Expired,47.15,Watchlist
C00042,0.0,101951.77,0.4,37.09,1.0,2.0,63.75,North,,Inside Sales,Expired,34.26,High Risk
C00043,0.0,63619.65,0.0,64.22,0.0,2.9705882352941178,75.0,South,,Marketplace,Expired,65.7,Watchlist
C00046,0.0,0.0,0.0,53.79,0.0,2.9705882352941178,40.0,South,Growth,Inside Sales,Trial,71.84,Healthy
C00047,0.0,0.0,0.0,57.59,0.0,2.0,40.0,,Enterprise,Website,Trial,67.82,Watchlist
C00050,0.0,0.0,0.0,53.04,0.0,2.9705882352941178,15.0,South,Basic,,Trial,77.91,Healthy
C00053,0.0,0.0,0.0,44.59,0.0,2.9705882352941178,40.0,North,Enterprise,Website,Trial,69.54,Watchlist
C00056,0.0,0.0,1.0,62.49,0.0,2.9705882352941178,15.0,East,,Partner,Trial,55.27,Watchlist
C00059,0.0,0.0,0.0,42.86,0.0,2.9705882352941178,100.0,South,,Partner,Expired,54.11,Watchlist
C00062,0.0,0.0,0.0,42.76,0.0,2.9705882352941178,100.0,East,,Marketplace,Cancelled,54.09,Watchlist
