usage_id,customer_id,usage_date,login_count,active_minutes,feature_clicks,reports_created,data_exports,seat_count,record_status,status_reason
U0000001,C01342,2024-03-28,27.0,330.0,390,18,78,20.0,VALID,No issues detected
U0000002,C00763,2024-02-03,1.0,788.0,269,19,59,5.0,VALID,No issues detected
U0000003,C00584,2025-06-03,14.0,1941.0,994,71,77,,INVALID,Usage record references customer not in subscriptions
U0000004,C01024,2025-01-04,49.0,233.0,642,12,71,50.0,INVALID,Usage record references customer not in subscriptions
U0000005,C00673,2024-01-19,44.0,1728.0,80,67,40,500.0,INVALID,Usage record references customer not in subscriptions
U0000006,C00472,2025-03-19,44.0,203.0,877,78,36,100.0,VALID,No issues detected
U0000007,C00139,2024-01-09,57.0,1264.0,444,34,55,5.0,INVALID,Usage record references customer not in subscriptions
U0000008,C01553,2025-07-02,57.0,415.0,112,54,31,500.0,INVALID,Usage record references customer not in subscriptions
U0000009,C01422,2025-12-22,-29.0,-220.0,96,77,8,5.0,INVALID,Usage record references customer not in subscriptions; Negative login_count; Negative active_minutes
U0000010,C01786,2025-02-17,15.0,537.0,615,44,32,-5.0,VALID,No issues detected
U0000011,C00230,2025-01-31,51.0,-175.0,653,61,73,,INVALID,Negative active_minutes
U0000012,C00495,2025-11-20,25.0,,193,73,50,,INVALID,Usage record references customer not in subscriptions
U0000013,C01710,2025-05-26,58.0,1523.0,752,14,57,20.0,INVALID,Usage record references customer not in subscriptions
U0000014,C01139,2024-01-14,44.0,853.0,598,54,95,50.0,INVALID,Usage record references customer not in subscriptions
U0000015,C00113,2025-07-11,12.0,910.0,63,43,74,2.0,INVALID,Usage record references customer not in subscriptions
U0000016,C00735,2025-04-28,10.0,404.0,742,15,92,5.0,INVALID,Usage record references customer not in subscriptions
U0000017,C00905,2025-04-15,23.0,540.0,905,65,21,10.0,INVALID,Usage record references customer not in subscriptions
U0000018,C00825,2024-10-28,,,50,76,28,10.0,VALID,No issues detected
U0000019,C01344,2024-03-01,-38.0,-205.0,492,2,55,500.0,INVALID,Usage record references customer not in subscriptions; Negative login_count; Negative active_minutes
U0000020,C01573,2024-05-18,17.0,879.0,713,35,19,50.0,INVALID,Usage record references customer not in subscriptions
U0000021,C00908,2024-10-25,38.0,816.0,500,52,65,500.0,INVALID,Usage record references customer not in subscriptions
U0000022,C00413,2025-08-01,6.0,601.0,994,49,47,1.0,VALID,No issues detected
U0000023,C01688,2024-11-12,38.0,-189.0,319,46,19,2.0,INVALID,Usage record references customer not in subscriptions; Negative active_minutes
U0000024,C00980,2025-11-14,53.0,1210.0,766,51,59,10.0,VALID,No issues detected
U0000025,C01046,2025-01-24,17.0,1471.0,184,34,52,,INVALID,Usage record references customer not in subscriptions
U0000026,C00833,2024-02-27,6.0,790.0,647,31,16,20.0,VALID,No issues detected
U0000027,C00300,2024-06-28,38.0,513.0,363,78,29,50.0,INVALID,Usage record references customer not in subscriptions
U0000028,C01428,2025-01-31,18.0,1647.0,741,37,98,1.0,VALID,No issues detected
U0000029,C01381,2024-03-05,21.0,245.0,806,8,100,2.0,INVALID,Usage record references customer not in subscriptions
U0000030,C00661,2024-05-01,9.0,1216.0,222,46,94,20.0,INVALID,Usage record references customer not in subscriptions
U0000031,C00966,2025-06-14,2.0,1727.0,594,51,36,10.0,VALID,No issues detected
U0000032,C00876,2025-02-28,12.0,481.0,880,60,30,5.0,INVALID,Usage record references customer not in subscriptions
U0000033,C00855,2024-03-13,-35.0,,378,32,77,10.0,INVALID,Usage record references customer not in subscriptions; Negative login_count
U0000034,C00972,2026-01-20,0.0,1222.0,685,22,2,1.0,INVALID,Usage record references customer not in subscriptions
U0000035,C01725,2024-01-04,,1185.0,294,40,29,20.0,VALID,No issues detected
U0000036,C01424,2025-07-05,41.0,1507.0,904,1,62,1.0,VALID,No issues detected
U0000037,C00655,2025-07-19,1.0,1003.0,841,67,3,1.0,INVALID,Usage record references customer not in subscriptions
U0000038,C01629,2024-06-19,41.0,1261.0,699,15,0,1.0,INVALID,Usage record references customer not in subscriptions
U0000039,C01612,2024-03-23,24.0,,660,51,36,-5.0,VALID,No issues detected
U0000040,C00751,2024-08-07,49.0,717.0,888,56,32,20.0,INVALID,Usage record references customer not in subscriptions
