subscription_id,customer_id,region,plan_name,signup_date,renewal_date,monthly_fee,discount_pct,auto_renew,subscription_status,sales_channel,record_status,status_reason,subscription_status_norm
S000001,C00918,South,Basic,2025-10-18,2025-12-25,58773.1,126.0,Y,Active,Inside Sales,INVALID,Discount_pct outside 0-100 range,Active
S000002,C00418,East,Growth,2024-07-18,2024-08-08,22676.79,0.0,N,Active,Partner,VALID,No issues detected,Active
S000003,C01264,South,Growth,2025-04-22,2025-04-12,13274.49,42.0,,Cancelled,Partner,INVALID,Renewal date earlier than signup date,Cancelled
S000004,C00053,North,Growth,2025-05-20,2025-12-29,-22343.42,38.0,,Expired,Website,INVALID,Negative monthly_fee,Expired
S000005,C00809,Central,Growth,2024-06-30,2025-05-14,18700.04,0.0,N,Active,,VALID,No issues detected,Active
S000006,C01782,,Pro,2025-07-06,2025-08-17,19658.89,-25.0,N,,Marketplace,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000007,C01669,,,2025-09-08,2025-09-07,,38.0,N,Active,Partner,INVALID,Renewal date earlier than signup date; Missing monthly_fee,Active
S000008,C01078,West,Basic,2025-01-18,2025-12-03,30114.38,122.0,N,,Inside Sales,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000009,C01645,West,Growth,2025-11-06,2026-11-30,58996.4,-30.0,Y,Active,Inside Sales,INVALID,Discount_pct outside 0-100 range,Active
S000010,C00560,West,,2025-02-22,2025-12-18,16181.18,0.0,,Cancelled,Inside Sales,VALID,No issues detected,Cancelled
S000011,,,,2025-04-03,2025-12-25,79733.36,0.0,Y,Expired,Inside Sales,INVALID,Missing customer_id,Expired
S000012,C00786,Central,,2025-06-16,2025-06-03,,108.0,,Active,Inside Sales,INVALID,Renewal date earlier than signup date; Missing monthly_fee; Discount_pct outside 0-100 range,Active
S000013,C01363,West,,2024-03-14,,57677.0,-22.0,Y,Active,,INVALID,Discount_pct outside 0-100 range; Active subscription with missing/implausible renewal date,Active
S000014,C00196,East,,2025-08-05,2025-12-15,74200.34,-14.0,Y,Trial,Website,INVALID,Discount_pct outside 0-100 range,Trial
