case_id,customer_id,opened_date,closed_date,priority,case_type,case_status,resolution_hours,csat_score,refund_requested,record_status,status_reason,case_status_norm
CS000001,C00731,2024-10-10,2024-10-30 17:00:00,High,Technical,Open,420.0,1.0,N,INVALID,Support case references customer not in subscriptions,Open
CS000002,C01127,2025-09-10,2025-10-17 09:00:00,Critical,Technical,Escalated,-15.0,0.0,N,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Escalated
CS000003,C01372,2025-01-09,2025-02-10 03:00:00,High,Data Issue,,-80.0,2.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; Missing case_status,Nan
CS000004,C01538,2024-03-24,2024-04-23 00:00:00,Critical,Cancellation,Escalated,,3.0,Y,INVALID,Support case references customer not in subscriptions,Escalated
CS000005,C01514,2024-04-29,,High,,Open,-54.0,0.0,N,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Open
CS000006,C00431,2025-06-05,2025-06-13 23:00:00,Low,,Closed,-48.0,6.0,N,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Closed
CS000007,C00484,2024-03-14,2024-03-17 19:00:00,Low,Technical,Escalated,,4.0,Y,VALID,No issues detected,Escalated
CS000008,C00147,2025-10-16,2025-11-15 20:00:00,Critical,Cancellation,,,6.0,,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Missing case_status,Nan
CS000009,C00464,2026-01-23,,Critical,Cancellation,Pending,-61.0,4.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Pending
CS000010,C01582,2025-01-11,2025-02-05 00:00:00,Medium,Billing,Escalated,-36.0,4.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Escalated
CS000011,C01466,2025-10-04,2025-10-21 00:00:00,Critical,Cancellation,Open,,1.0,Y,INVALID,Support case references customer not in subscriptions,Open
CS000012,C00537,2024-04-14,,,Data Issue,Closed,878.0,1.0,Y,INVALID,Support case references customer not in subscriptions; Closed case missing closure date/resolution hours,Closed
CS000013,C01672,2025-08-05,2025-09-02 12:00:00,Critical,Cancellation,Pending,774.0,2.0,,INVALID,Support case references customer not in subscriptions,Pending
,C00989,2024-11-15,2024-11-08 00:00:00,Medium,Access,Closed,-64.0,3.0,,INVALID,Missing case_id; Support case references customer not in subscriptions; Closed date earlier than opened date; Negative resolution_hours,Closed
,C01321,2025-09-22,2025-10-25 11:00:00,,,Escalated,122.0,1.0,,INVALID,Missing case_id; Support case references customer not in subscriptions,Escalated
CS000016,C01630,2025-04-11,2025-04-18 01:00:00,Low,Access,Escalated,613.0,,,INVALID,Support case references customer not in subscriptions,Escalated
CS000017,C01597,2025-09-29,2025-10-11 01:00:00,Critical,,Escalated,,2.0,,VALID,No issues detected,Escalated
CS000018,C00932,2024-02-20,2024-03-01 05:00:00,Medium,Data Issue,Escalated,-84.0,0.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Escalated
CS000019,C00350,2025-07-21,2025-07-31 09:00:00,Low,Billing,Open,,6.0,N,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Open
CS000020,C00605,2025-06-06,2025-06-02 00:00:00,Medium,Cancellation,Closed,463.0,1.0,N,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date,Closed
,C00089,2025-01-19,2025-01-29 08:00:00,Low,Billing,Open,-55.0,5.0,N,INVALID,Missing case_id; Support case references customer not in subscriptions; Negative resolution_hours,Open
CS000022,C01159,2025-06-22,2025-07-30 02:00:00,High,Cancellation,Escalated,302.0,6.0,Y,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Escalated
CS000023,C01488,2024-02-12,2024-02-19 03:00:00,High,Access,Escalated,85.0,2.0,,INVALID,Support case references customer not in subscriptions,Escalated
,C01621,2024-04-07,2024-04-24 01:00:00,Medium,,Escalated,,1.0,,INVALID,Missing case_id; Support case references customer not in subscriptions,Escalated
CS000025,C00755,2025-05-31,2025-05-31 16:00:00,Critical,Billing,Closed,-25.0,5.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Closed
CS000026,C01771,2024-10-07,2024-10-28 06:00:00,,Access,Closed,-34.0,5.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Closed
CS000027,C01115,2025-04-09,,,Technical,Open,,5.0,Y,INVALID,Support case references customer not in subscriptions,Open
CS000028,C01207,2025-05-28,2025-05-21 00:00:00,,Technical,Open,-53.0,,N,INVALID,Closed date earlier than opened date; Negative resolution_hours,Open
,C01684,2024-07-12,2024-08-13 22:00:00,Critical,,,,6.0,Y,INVALID,Missing case_id; Support case references customer not in subscriptions; CSAT score outside 1-5 range; Missing case_status,Nan
CS000030,C01402,2025-05-07,2025-06-11 08:00:00,Critical,Access,Pending,-68.0,5.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Pending
CS000031,C00809,2026-01-05,2026-02-04 19:00:00,,Billing,Escalated,476.0,1.0,N,VALID,No issues detected,Escalated
CS000032,C01555,2025-06-13,2025-07-10 22:00:00,,,Escalated,-9.0,1.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Escalated
