region,plan_name,reported_mrr,trusted_mrr,revenue_overstatement_pct
,,884332.59,0.0,100.0
,Basic,445104.42,0.0,100.0
,Enterprise,580232.29,0.0,100.0
,Growth,474483.17,0.0,100.0
,Pro,960746.73,0.0,100.0
Central,,445072.96,0.0,100.0
East,,547717.41,0.0,100.0
North,,233748.24,0.0,100.0
South,,314016.51,0.0,100.0
West,,880208.75,0.0,100.0
South,Growth,499831.91,41975.88,91.6
Central,Enterprise,210451.64,18793.48,91.07
North,Enterprise,542632.74,64950.52,88.03
South,Pro,887142.5,144432.13,83.72
North,Pro,510484.19,85089.53,83.33
East,Growth,601494.15,142314.67,76.34
West,Basic,545205.63,157771.89,71.06
North,Growth,567740.08,166041.95,70.75
West,Growth,904706.94,294232.98,67.48
South,Basic,811290.94,266637.97,67.13
Central,Growth,300544.94,102468.85,65.91
East,Basic,489835.08,179293.78,63.4
East,Enterprise,435646.22,163962.6,62.36
Central,Pro,502533.03,228063.44,54.62
Central,Basic,360899.25,165879.98,54.04
West,Pro,741292.26,367058.56,50.48
South,Enterprise,384573.32,200697.75,47.81
West,Enterprise,305730.51,160133.67,47.62
East,Pro,559083.71,307042.2,45.08
North,Basic,424710.01,262725.62,38.14
,,0.0,256949.67,0.0
,Basic,0.0,84808.41,0.0
,Enterprise,0.0,158980.55,0.0
,Growth,0.0,139669.77,0.0
,Pro,0.0,216672.78,0.0
Central,,0.0,197157.62,0.0
East,,0.0,260976.91,0.0
North,,0.0,118644.82,0.0
South,,0.0,86065.84,0.0
West,,0.0,86196.39,0.0
