customer_id,region,plan_name,sales_channel,reported_mrr,trusted_mrr,total_invoice_value,payment_failure_rate,usage_intensity_score,support_case_count,escalation_count,average_csat,customer_health_score,risk_category,revenue_at_risk,recommended_priority
C00330,,,Inside Sales,,19772.62,113338.75,1.0,0.0,1,0,3.0,38.32,High Risk,19772.62,Immediate Action
C00001,West,,Partner,,0.0,431236.39,0.25,47.94,0,0,2.97,56.21,Watchlist,0.0,Monitor
C00004,North,,Marketplace,,23794.45,652470.08,0.25,0.0,1,0,3.0,57.07,Watchlist,0.0,Monitor Closely
C00006,North,Enterprise,,542632.74,0.0,0.0,0.0,44.08,0,0,2.97,75.67,Healthy,0.0,Low Priority
C00010,,Pro,Inside Sales,,0.0,0.0,0.0,57.61,0,0,2.97,79.05,Healthy,0.0,Low Priority
C00011,East,Basic,Website,489835.08,0.0,92992.91,0.0,61.46,1,1,3.0,66.19,Watchlist,0.0,Monitor
C00013,North,Basic,Inside Sales,424710.01,0.0,183159.65,0.0,29.34,1,0,2.0,52.01,Watchlist,0.0,Monitor
C00017,Central,Pro,,502533.03,0.0,210346.33,0.0,38.82,0,0,2.97,53.1,Watchlist,0.0,Monitor
C00019,,,Inside Sales,,0.0,191432.45,0.0,40.35,1,0,3.0,65.91,Watchlist,0.0,Monitor
C00026,East,Enterprise,Partner,435646.22,14872.67,0.0,0.0,0.0,0,0,2.97,50.9,Watchlist,0.0,Monitor Closely
C00028,North,Enterprise,Partner,542632.74,0.0,12975.19,0.0,47.71,0,0,2.97,55.32,Watchlist,0.0,Monitor
C00031,West,Enterprise,Inside Sales,305730.51,18912.68,16369.36,0.0,54.47,0,0,2.97,75.14,Healthy,0.0,Low Priority
C00032,East,Enterprise,Website,435646.22,0.0,115840.04,0.0,0.0,1,0,2.0,57.18,Watchlist,0.0,Monitor
C00035,Central,Enterprise,Website,210451.64,18311.98,51074.44,1.0,43.18,2,0,3.0,49.12,Watchlist,0.0,Monitor Closely
C00036,West,,,,0.0,234292.36,0.0,0.0,0,0,2.97,62.15,Watchlist,0.0,Monitor
C00037,North,,Website,,0.0,13300.56,0.0,0.0,0,0,2.97,64.65,Watchlist,0.0,Monitor
C00038,East,Basic,Inside Sales,489835.08,0.0,51321.12,0.0,0.0,0,0,2.97,47.15,Watchlist,0.0,Monitor
C00042,North,,Inside Sales,,0.0,309283.42,0.4,37.09,1,1,2.0,34.26,High Risk,0.0,Investigate
C00043,South,,Marketplace,,0.0,63619.65,0.0,64.22,0,0,2.97,65.7,Watchlist,0.0,Monitor
C00046,South,Growth,Inside Sales,499831.91,0.0,0.0,0.0,53.79,0,0,2.97,71.84,Healthy,0.0,Low Priority
